"","treat_assign","prob_shirt_st","prob_joke_st","prob_meeting_st","prob_vh_st","prob_pungwe_st","prob_testify_st"
"1","TG",0.498363036178398,1.01188560083603,0.337613531626619,0.75732722158123,0.726220968207376,-0.571491023153612
"2","TG",-1.77445651123852,-0.861976622934394,-0.913772531545405,-1.40646484007943,-1.44904308632954,-0.571491023153612
"3","TG",-0.638046737530063,-0.861976622934394,-0.496643843821397,0.396695211304454,0.00113295002840458,0.142033972486319
"5","C",0.877166294081218,1.01188560083603,0.754742219350627,0.396695211304454,1.08876497729686,1.21232146594621
"6","C",0.119559778275578,-0.112431733426225,1.17187090707464,0.0360632010276775,0.00113295002840458,0.498796470306284
"7","C",0.119559778275578,-0.48720417818031,0.337613531626619,-0.685200819525875,-0.723955068150567,-0.571491023153612
"8","TG",0.498363036178398,-0.112431733426225,0.337613531626619,-0.324568809249099,-0.361411059061081,-0.214728525333647
"9","C",-0.638046737530063,-0.861976622934394,0.337613531626619,-0.324568809249099,0.00113295002840458,-0.928253520973577
"10","C",-0.259243479627243,0.262340711327859,-0.496643843821397,0.396695211304454,0.726220968207376,0.855558968126249
"14","C",0.498363036178398,-0.48720417818031,-2.16515859471743,-1.40646484007943,-1.44904308632954,-1.28501601879354
"15","TG",-0.638046737530063,-1.23674906768848,0.337613531626619,-0.324568809249099,-0.361411059061081,0.142033972486319
"16","C",-1.77445651123852,-1.23674906768848,-0.496643843821397,-1.40646484007943,-1.44904308632954,-1.28501601879354
"17","TG",0.498363036178398,-1.23674906768848,0.337613531626619,-1.40646484007943,-1.44904308632954,-1.28501601879354
"19","TG",-0.638046737530063,-0.861976622934394,-0.913772531545405,-1.04583282980265,-1.08649907724005,-0.928253520973577
"21","TG",-0.638046737530063,-0.48720417818031,0.337613531626619,0.0360632010276775,0.36367695911789,0.855558968126249
"23","C",-1.3956532533357,-0.112431733426225,-1.74802990699342,-1.04583282980265,-1.08649907724005,-0.928253520973577
"24","C",-0.259243479627243,-0.112431733426225,0.337613531626619,0.0360632010276775,0.726220968207376,0.498796470306284
"25","C",0.119559778275578,-0.112431733426225,-0.079515156097389,-0.324568809249099,-0.361411059061081,-0.214728525333647
"26","C",-0.638046737530063,-0.112431733426225,-0.079515156097389,-0.685200819525875,-1.08649907724005,-0.928253520973577
"27","C",-0.638046737530063,0.262340711327859,0.337613531626619,-1.40646484007943,-1.44904308632954,-1.28501601879354
"28","C",0.498363036178398,-1.23674906768848,-0.079515156097389,-1.40646484007943,-1.44904308632954,-1.28501601879354
"29","C",-0.638046737530063,-1.23674906768848,-0.079515156097389,-1.04583282980265,0.726220968207376,0.855558968126249
"30","TG",0.498363036178398,-0.112431733426225,-0.913772531545405,-1.04583282980265,-1.08649907724005,-0.571491023153612
"31","C",-1.3956532533357,-0.48720417818031,-1.74802990699342,-1.04583282980265,-1.08649907724005,-0.928253520973577
"32","C",-1.3956532533357,-0.861976622934394,-0.913772531545405,-1.40646484007943,-1.08649907724005,-0.928253520973577
"33","TG",-0.259243479627243,-0.112431733426225,-0.079515156097389,-0.324568809249099,-0.723955068150567,-0.214728525333647
"34","C",0.877166294081218,1.38665804559011,0.337613531626619,1.11795923185801,1.45130898638635,1.56908396376618
"35","C",0.877166294081218,0.637113156081943,0.754742219350627,0.396695211304454,0.36367695911789,0.498796470306284
"37","C",1.25596955198404,1.7614304903442,1.17187090707464,1.47859124213478,1.45130898638635,1.56908396376618
"38","C",0.119559778275578,0.637113156081943,0.754742219350627,0.75732722158123,0.726220968207376,1.21232146594621
"39","C",-0.638046737530063,-1.23674906768848,-0.913772531545405,-1.40646484007943,-1.44904308632954,-1.28501601879354
"40","TG",-0.259243479627243,-0.861976622934394,-0.079515156097389,-0.324568809249099,-0.723955068150567,-1.28501601879354
"41","TG",-1.77445651123852,-1.23674906768848,0.337613531626619,-1.04583282980265,-1.08649907724005,-0.928253520973577
"44","C",-1.01684999543288,-1.23674906768848,-0.496643843821397,-0.324568809249099,-1.08649907724005,-1.28501601879354
"45","TG",-0.638046737530063,-0.112431733426225,-0.079515156097389,-0.324568809249099,-0.361411059061081,-1.28501601879354
"46","C",-0.259243479627243,-0.112431733426225,-0.079515156097389,-1.04583282980265,0.00113295002840458,0.498796470306284
"47","C",0.498363036178398,1.01188560083603,0.337613531626619,-1.04583282980265,-1.08649907724005,-0.928253520973577
"49","TG",-1.77445651123852,-1.23674906768848,-2.16515859471743,-0.324568809249099,-0.361411059061081,-0.571491023153612
"50","C",-1.3956532533357,-0.48720417818031,-0.913772531545405,-1.40646484007943,-1.44904308632954,-1.28501601879354
"51","TG",0.119559778275578,-1.23674906768848,-0.913772531545405,-1.40646484007943,-1.44904308632954,-1.28501601879354
"52","C",-1.3956532533357,-1.23674906768848,-2.16515859471743,-1.40646484007943,-1.44904308632954,-1.28501601879354
"54","C",-1.3956532533357,-0.861976622934394,-1.74802990699342,-1.04583282980265,-1.44904308632954,-1.28501601879354
"56","TG",0.498363036178398,0.262340711327859,0.337613531626619,0.0360632010276775,-0.361411059061081,0.142033972486319
"57","C",0.498363036178398,1.01188560083603,0.337613531626619,0.396695211304454,0.36367695911789,0.498796470306284
"58","C",1.25596955198404,1.7614304903442,1.17187090707464,1.47859124213478,1.45130898638635,1.21232146594621
"60","C",0.498363036178398,1.01188560083603,1.17187090707464,1.47859124213478,1.08876497729686,1.21232146594621
"61","C",-1.3956532533357,0.637113156081943,-0.079515156097389,-0.324568809249099,0.36367695911789,-0.928253520973577
"64","TG",-1.3956532533357,-0.861976622934394,-1.74802990699342,-1.04583282980265,-1.08649907724005,-0.928253520973577
"65","C",-1.3956532533357,0.637113156081943,-0.079515156097389,-1.04583282980265,-1.08649907724005,-1.28501601879354
"66","C",-1.3956532533357,-0.861976622934394,-1.74802990699342,0.0360632010276775,-0.361411059061081,-0.928253520973577
"67","TG",-1.3956532533357,0.637113156081943,-0.079515156097389,0.75732722158123,-0.361411059061081,-0.928253520973577
"68","C",-1.3956532533357,1.38665804559011,1.17187090707464,1.47859124213478,1.45130898638635,1.56908396376618
"69","C",0.119559778275578,-0.112431733426225,-0.079515156097389,0.396695211304454,0.36367695911789,0.498796470306284
"70","C",-1.77445651123852,-1.23674906768848,-1.74802990699342,-1.40646484007943,-1.44904308632954,-1.28501601879354
"72","C",-0.638046737530063,-0.861976622934394,-0.079515156097389,-1.40646484007943,-1.44904308632954,-0.928253520973577
"73","C",-1.77445651123852,-1.23674906768848,-1.74802990699342,-0.324568809249099,-1.44904308632954,0.498796470306284
"75","C",-1.77445651123852,-1.23674906768848,-1.33090121926941,-1.40646484007943,-1.44904308632954,0.142033972486319
"76","TG",-0.638046737530063,-1.23674906768848,-0.079515156097389,-1.04583282980265,-1.08649907724005,-1.28501601879354
"77","C",-1.77445651123852,-1.23674906768848,-1.33090121926941,-1.40646484007943,-1.44904308632954,-1.28501601879354
"78","TG",-1.01684999543288,-1.23674906768848,-1.33090121926941,-1.04583282980265,-1.44904308632954,-0.571491023153612
"79","C",-0.638046737530063,-1.23674906768848,-1.33090121926941,-1.40646484007943,-1.44904308632954,-0.928253520973577
"81","TG",-0.638046737530063,-0.861976622934394,-0.496643843821397,-1.04583282980265,-1.08649907724005,-1.28501601879354
"83","C",-1.01684999543288,-0.112431733426225,-0.079515156097389,-0.324568809249099,-0.361411059061081,0.498796470306284
"84","C",-0.259243479627243,-1.23674906768848,-0.079515156097389,-0.685200819525875,-0.723955068150567,-0.571491023153612
"85","C",0.119559778275578,-0.112431733426225,0.337613531626619,0.0360632010276775,0.00113295002840458,-0.571491023153612
"87","C",-0.638046737530063,0.262340711327859,0.337613531626619,-0.324568809249099,0.726220968207376,0.142033972486319
"88","C",-0.638046737530063,-1.23674906768848,-0.079515156097389,-0.685200819525875,-0.723955068150567,-0.571491023153612
"89","C",-1.01684999543288,-1.23674906768848,-1.74802990699342,0.396695211304454,-0.723955068150567,-0.928253520973577
"90","TG",-1.3956532533357,-0.48720417818031,-1.74802990699342,-1.40646484007943,-1.44904308632954,-0.928253520973577
"91","TG",-1.01684999543288,-1.23674906768848,-1.33090121926941,-0.324568809249099,-0.361411059061081,-0.928253520973577
"92","C",0.877166294081218,1.7614304903442,1.17187090707464,1.47859124213478,1.45130898638635,1.56908396376618
"93","TG",1.25596955198404,1.01188560083603,1.17187090707464,1.11795923185801,1.08876497729686,1.21232146594621
"94","C",0.877166294081218,1.01188560083603,0.754742219350627,0.0360632010276775,-0.361411059061081,1.56908396376618
"95","TG",0.877166294081218,1.01188560083603,0.754742219350627,0.396695211304454,0.36367695911789,1.21232146594621
"97","C",1.25596955198404,1.01188560083603,1.17187090707464,1.11795923185801,1.08876497729686,1.21232146594621
"98","TG",0.877166294081218,1.38665804559011,1.17187090707464,1.11795923185801,1.08876497729686,1.21232146594621
"99","C",-0.638046737530063,1.01188560083603,0.337613531626619,0.0360632010276775,-0.361411059061081,-0.214728525333647
"101","C",0.877166294081218,0.262340711327859,1.17187090707464,0.396695211304454,0.36367695911789,0.142033972486319
"102","TG",-1.77445651123852,-0.861976622934394,-0.913772531545405,-1.40646484007943,-1.44904308632954,-1.28501601879354
"103","C",0.877166294081218,0.262340711327859,0.337613531626619,0.0360632010276775,-0.361411059061081,-0.214728525333647
